"","datetime","date","do","month_yr"
"19094",2019-03-07 18:00:00,2019-03-07,9.9,"2019-03"
"19095",NA,NA,NA,NA
"19096",2019-03-07 20:00:00,2019-03-07,9.8,"2019-03"
"19097",2019-03-07 21:00:00,2019-03-07,9.8,"2019-03"
"19098",NA,NA,NA,NA
"19099",2019-03-07 23:00:00,2019-03-07,9.75,"2019-03"
"19100",2019-03-08 00:00:00,2019-03-08,9.75,"2019-03"
"19101",2019-03-08 01:00:00,2019-03-08,9.1,"2019-03"
"19102",2019-03-08 02:00:00,2019-03-08,9,"2019-03"
"19103",2019-03-08 03:00:00,2019-03-08,9.45,"2019-03"
"19104",2019-03-08 04:00:00,2019-03-08,9.55,"2019-03"
"19105",2019-03-08 05:00:00,2019-03-08,9.7,"2019-03"
"19106",2019-03-08 06:00:00,2019-03-08,9.8,"2019-03"
"19107",2019-03-08 07:00:00,2019-03-08,9.85,"2019-03"
"19108",2019-03-08 08:00:00,2019-03-08,9.9,"2019-03"
"19109",2019-03-08 09:00:00,2019-03-08,9.85,"2019-03"
"19110",2019-03-08 10:00:00,2019-03-08,9.8,"2019-03"
"19111",2019-03-08 11:00:00,2019-03-08,9.8,"2019-03"
"19112",NA,NA,NA,NA
"19113",2019-03-08 13:00:00,2019-03-08,9.3,"2019-03"
"19114",2019-03-08 14:00:00,2019-03-08,9.15,"2019-03"
"19115",2019-03-08 15:00:00,2019-03-08,9.8,"2019-03"
"19116",2019-03-08 16:00:00,2019-03-08,10,"2019-03"
"19117",2019-03-08 17:00:00,2019-03-08,10.2,"2019-03"
"19118",2019-03-08 18:00:00,2019-03-08,10.2,"2019-03"
"19119",2019-03-08 19:00:00,2019-03-08,10.1,"2019-03"
"19120",2019-03-08 20:00:00,2019-03-08,10.1,"2019-03"
"19121",2019-03-08 21:00:00,2019-03-08,10.1,"2019-03"
"19122",2019-03-08 22:00:00,2019-03-08,10.1,"2019-03"
"19123",2019-03-08 23:00:00,2019-03-08,9.8,"2019-03"
"19124",2019-03-09 00:00:00,2019-03-09,9.8,"2019-03"
"19125",2019-03-09 01:00:00,2019-03-09,9.5,"2019-03"
"19126",2019-03-09 02:00:00,2019-03-09,9.5,"2019-03"
"19127",2019-03-09 03:00:00,2019-03-09,9.7,"2019-03"
"19128",2019-03-09 04:00:00,2019-03-09,9.8,"2019-03"
"19129",2019-03-09 05:00:00,2019-03-09,9.9,"2019-03"
"19130",2019-03-09 06:00:00,2019-03-09,9.95,"2019-03"
"19131",2019-03-09 07:00:00,2019-03-09,10,"2019-03"
"19132",2019-03-09 08:00:00,2019-03-09,10.05,"2019-03"
"19133",2019-03-09 09:00:00,2019-03-09,10.1,"2019-03"
"19134",2019-03-09 10:00:00,2019-03-09,10.05,"2019-03"
"19135",2019-03-09 11:00:00,2019-03-09,10,"2019-03"
"19136",2019-03-09 12:00:00,2019-03-09,10.1,"2019-03"
"19137",2019-03-09 13:00:00,2019-03-09,10.1,"2019-03"
"19138",2019-03-09 14:00:00,2019-03-09,10.1,"2019-03"
"19139",2019-03-09 15:00:00,2019-03-09,10.1,"2019-03"
"19140",2019-03-09 16:00:00,2019-03-09,10.1,"2019-03"
"19141",2019-03-09 17:00:00,2019-03-09,10.1,"2019-03"
"19142",2019-03-09 18:00:00,2019-03-09,10.1,"2019-03"
"19143",2019-03-09 19:00:00,2019-03-09,10.1,"2019-03"
"19144",2019-03-09 20:00:00,2019-03-09,10.1,"2019-03"
"19145",2019-03-09 21:00:00,2019-03-09,10.1,"2019-03"
"19146",NA,NA,NA,NA
"19147",NA,NA,NA,NA
"19148",NA,NA,NA,NA
"19149",2019-03-10 01:00:00,2019-03-10,10.1,"2019-03"
"19150",NA,NA,NA,NA
"19151",2019-03-10 03:00:00,2019-03-10,9.9,"2019-03"
"19152",2019-03-10 04:00:00,2019-03-10,10,"2019-03"
"19153",2019-03-10 05:00:00,2019-03-10,10.05,"2019-03"
"19154",2019-03-10 06:00:00,2019-03-10,10.1,"2019-03"
"19155",2019-03-10 07:00:00,2019-03-10,10.1,"2019-03"
"19156",2019-03-10 08:00:00,2019-03-10,10.1,"2019-03"
"19157",2019-03-10 09:00:00,2019-03-10,10.1,"2019-03"
