"","datetime","date","air_temperature","air_temperature_qc_agg","air_temperature_qc_tests"
"395",2017-01-17 10:00:00,2017-01-17,5.881332,1,NA
"396",2017-01-17 11:00:00,2017-01-17,5.852703,1,NA
"397",2017-01-17 12:00:00,2017-01-17,6.407349,1,NA
"398",2017-01-17 13:00:00,2017-01-17,6.441322,1,NA
"399",2017-01-17 14:00:00,2017-01-17,6.0676155,1,NA
"400",2017-01-17 15:00:00,2017-01-17,6.067616,1,NA
"401",2017-01-17 16:00:00,2017-01-17,6.0591225,1,NA
"402",2017-01-17 17:00:00,2017-01-17,5.914738,1,NA
"403",2017-01-17 18:00:00,2017-01-17,6.0418835,1,NA
"404",2017-01-17 19:00:00,NA,NA,NA,NA
"405",2017-01-17 20:00:00,2017-01-17,7.620972,1,NA
"406",2017-01-17 21:00:00,2017-01-17,8.922527,1,NA
"407",2017-01-17 22:00:00,2017-01-17,9.185211,1,NA
"408",2017-01-17 23:00:00,2017-01-17,8.7788065,1,NA
"409",2017-01-18 00:00:00,2017-01-18,8.2856425,1,NA
"410",2017-01-18 01:00:00,2017-01-18,7.9873545,1,NA
"411",2017-01-18 02:00:00,2017-01-18,7.5887205,1,NA
"412",2017-01-18 03:00:00,2017-01-18,7.510704,1,NA
"413",2017-01-18 04:00:00,2017-01-18,7.7152345,1,NA
"414",2017-01-18 05:00:00,2017-01-18,7.627289,1,NA
"415",2017-01-18 06:00:00,2017-01-18,7.6297035,1,NA
"416",2017-01-18 07:00:00,2017-01-18,7.638815,1,NA
"417",2017-01-18 08:00:00,2017-01-18,7.571327,1,NA
"418",2017-01-18 09:00:00,2017-01-18,7.646713,1,NA
"419",2017-01-18 10:00:00,2017-01-18,7.484161,1,NA
"420",2017-01-18 11:00:00,2017-01-18,7.4339045,1,NA
"421",2017-01-18 12:00:00,2017-01-18,7.452087,1,NA
"422",2017-01-18 13:00:00,NA,NA,NA,NA
"423",2017-01-18 14:00:00,2017-01-18,8.6500415,1,NA
"424",2017-01-18 15:00:00,2017-01-18,8.887775,1,NA
"425",2017-01-18 16:00:00,2017-01-18,9.3683015,1,NA
