"","thalli","date","run","start_time","end_time","tank","treatment","hach_start_unit","hach_end_unit","hach_period","unit_ph_hach","unit_temp_hach","unit_sal_hach","unit_do_hach","par","thalli_weight","discrete_collection_time","header_hach_time","header_pH_hach","header_temp_hach","header_sal_hach","header_do_hach","repro_apices","veg_apices","wwr","wwv","wwrecp","concept","oo_in_1","oo_in_2","oo_in_3","dwr","dwv","dwrecp","oo_disc_1","oo_disc_2","oo_disc_3","oo_disc_4","ph_probe_location","hobo_logger_location","notes","unit_ph_corrected","avg_disc_oo","unit_avg_sal","unit_avg_ph_c","unit_avg_do","unit_avg_temp"
"46","D4","11/12/2019",1,"11:23","16:00","D",4,"14:05","14:41","mid",7.92,16.6,30.4,9.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",7.84615384615385,NA,30.4333333333333,7.80769230769231,9.55,16.5
"47","D4","11/12/2019",1,"11:23","16:00","D",4,"15:29","15:55","end",7.76,16.1,30.4,8.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",7.64102564102564,NA,30.4333333333333,7.80769230769231,9.55,16.5
"48","D4","11/12/2019",1,"11:23","16:00","D",4,"12:39","13:12","start",7.99,16.8,30.5,10.16,781,31.341,NA,NA,NA,NA,NA,NA,35,7,22.943,7.999,1.267,404,17,32,17,3.118,1.941,0.182,10,8,20,6,"","","",7.93589743589744,11,30.4333333333333,7.80769230769231,9.55,16.5
"49","E1","11/12/2019",1,"11:23","16:00","E",1,"15:29","15:55","end",7.9,16.7,27.1,9.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",7.82051282051282,NA,27.0666666666667,7.87179487179487,9.34333333333333,16.5
"50","E1","11/12/2019",1,"11:23","16:00","E",1,"14:05","14:41","mid",7.92,16.7,27.1,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",7.84615384615385,NA,27.0666666666667,7.87179487179487,9.34333333333333,16.5
"51","E1","11/12/2019",1,"11:23","16:00","E",1,"12:39","13:12","start",8,16.1,27,9.72,736,31.321,NA,NA,NA,NA,NA,NA,39,3,25.101,5.463,0.894,328,40,46,36,3.733,1.574,0.134,488,1012,304,NA,"","","",7.94871794871795,601.333333333333,27.0666666666667,7.87179487179487,9.34333333333333,16.5
"52","E2","11/12/2019",1,"11:23","16:00","E",2,"15:29","15:55","end",6.64,16.7,27.1,9.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",6.2051282051282,NA,27.0666666666667,6.14102564102564,9.36333333333333,16.4666666666667
"53","E2","11/12/2019",1,"11:23","16:00","E",2,"12:39","13:12","start",6.64,16.1,27.1,9.35,754,30.305,NA,NA,NA,NA,NA,NA,40,0,24.006,5.221,0.982,348,26,79,48,3.498,1.543,0.136,191,422,352,154,"","","",6.2051282051282,279.75,27.0666666666667,6.14102564102564,9.36333333333333,16.4666666666667
"54","E2","11/12/2019",1,"11:23","16:00","E",2,"14:05","14:41","mid",6.49,16.6,27,9.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",6.01282051282051,NA,27.0666666666667,6.14102564102564,9.36333333333333,16.4666666666667
"55","E3","11/12/2019",1,"11:23","16:00","E",3,"15:29","15:55","end",8.11,17,30.6,9.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",8.08974358974359,NA,30.5666666666667,8.11111111111111,9.30333333333333,16.8
