source,scientificName,observed_on,latitude,longitude,type,references
iNaturalist,Fucus distichus L.,6/2/2013 14:17,37.866065,-122.317843,attached,https://www.inaturalist.org/observations/285976
iNaturalist,Fucus distichus L.,4/13/2013 0:00,37.863836,-122.440651,attached,https://www.inaturalist.org/observations/237445
iNaturalist,Fucus distichus L.,4/22/2017 15:40,37.767542,-122.278172,attached,https://www.inaturalist.org/observations/5949401
iNaturalist,Fucus distichus L.,4/17/2017 11:53,37.8247,-122.318131,attached,https://www.inaturalist.org/observations/5815169
iNaturalist,Fucus distichus L.,4/15/2017 10:05,37.898836,-122.32553,attached,https://www.inaturalist.org/observations/5744182
iNaturalist,Fucus distichus L.,4/5/2017 22:40,37.812994,-122.369453,attached,https://www.inaturalist.org/observations/5594085
iNaturalist,Fucus distichus L.,4/5/2017 13:48,37.812661,-122.368625,attached,https://www.inaturalist.org/observations/5584233
iNaturalist,Fucus distichus L.,4/1/2017 10:33,37.745656,-122.375363,attached,https://www.inaturalist.org/observations/5530113
iNaturalist,Fucus distichus L.,4/1/2017 9:49,37.745195,-122.373592,attached,https://www.inaturalist.org/observations/5529846
iNaturalist,Fucus distichus L.,4/1/2017 9:32,37.746416,-122.375331,unclear,https://www.inaturalist.org/observations/5529406
iNaturalist,Fucus distichus L.,12/3/2016 10:07,37.738011,-122.36834,attached,https://www.inaturalist.org/observations/4684621
iNaturalist,Fucus distichus L.,11/8/2014 14:06,37.738198,-122.372847,unclear,https://www.inaturalist.org/observations/1063481
iNaturalist,Fucus distichus L.,5/21/2016 9:40,37.70881,-122.380639,attached,https://www.inaturalist.org/observations/3249655
iNaturalist,Fucus distichus L.,11/8/2014 10:55,37.738176,-122.369489,wrack,https://www.inaturalist.org/observations/1062821
iNaturalist,Fucus distichus L.,5/31/2014 23:05,37.807579,-122.422355,wrack,https://www.inaturalist.org/observations/711999
"Josselyn & West, 1985",Fucus distichus ssp edentatus,1978-1983,37.591971,-122.321033,attached,NA
"Josselyn & West, 1985",Fucus distichus ssp edentatus,1978-1983,37.894124,-122.449779,attached,NA
"Josselyn & West, 1985",Fucus distichus ssp edentatus,1978-1983,NA,NA,attached,NA
"Josselyn & West, 1985",Fucus distichus ssp edentatus,1978-1983,38.001375,-122.46163,attached,NA
"Josselyn & West, 1985",Fucus distichus ssp edentatus,1978-1983,38.001323,-122.366244,attached,NA
"Josselyn & West, 1985",Fucus distichus ssp edentatus,1978-1983,38.057227,-122.214238,attached,NA
"Whitaker et al, 2017",Fucus distichus,2013,37.870765,-122.427634,attached,NA
"Whitaker et al, 2017",Fucus distichus,2013,37.859777,-122.315521,attached,NA
"Whitaker et al, 2017",Fucus distichus,2013,37.729155,-122.24877,attached,NA
"Whitaker et al, 2017",Fucus distichus,2013,37.694717,-122.190633,attached,NA
"Whitaker et al, 2017",Fucus distichus,2013,37.696862,-122.194305,attached,NA
"Whitaker et al, 2017",Fucus distichus,2013,37.764586,-122.286605,attached,NA
"Whitaker et al, 2017",Fucus distichus,2013,37.767519,-122.279235,attached,NA
"Whitaker et al, 2017",Fucus distichus,2013,37.800604,-122.329398,attached,NA
"Whitaker et al, 2017",Fucus distichus,2013,37.830454,-122.368142,attached,NA
"Whitaker et al, 2017",Fucus distichus,2013,37.841123,-122.315007,attached,NA
"Whitaker et al, 2017",Fucus distichus,2013,37.887879,-122.315991,attached,NA
